"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
1,165,1065.26,3999.26,221.58,1221.11,1898.15,0,1221.11,3.56
2,154.83,1423.91,3824.93,235.29,1453.46,1698.72,0,1453.46,2.13
3,156.65,1433.63,3755.53,236.47,1463.01,1696.41,0,1463.01,2.11
4,161.68,1443.07,3811.21,233.72,1472.72,1718.9,0,1472.72,2.05
5,157.07,1453.15,3812.76,234.12,1482.34,1705.81,0,1482.34,2.04
6,154.43,1462.48,3845.35,234.13,1492.24,1666.14,0,1492.24,2.02
7,154.47,1472.36,3794.34,232.35,1492.11,1705.24,100,1492.11,2.14
8,154.5,1472.27,3779.5,237.43,1501.77,1710.81,0,1501.77,2.02
9,156.02,1481.93,3816.91,234.52,1511.14,1678.34,0,1511.27,3.34
10,164.6,1491.45,3861.02,231.61,1520.84,1743.29,0,1520.84,2.03
11,153.28,1501.16,3805.79,232.56,1530.64,1719.57,0,1530.64,2.02
12,156.08,1510.97,3770.93,237.13,1530.46,1670.89,0,1530.46,1.96
13,162.92,1510.68,3914.32,234.73,1540.15,1667.89,200,1540.15,2
14,155,1520.01,3801.52,235.71,1540.29,1682.87,0,1540.29,1.98
15,154.12,1520.23,3876.71,233.73,1549.89,1683.78,0,1549.89,2.01
16,157.11,1529.81,3870.88,234.88,1549.89,1715.94,0,1549.89,1.99
17,153.81,1530.07,3807.52,236.69,1549.98,1690.14,0,1549.98,1.96
18,153.33,1530.29,3899.21,233.33,1549.91,1704.63,0,1549.91,1.97
19,154.24,1530.14,3887.26,233.14,1549.99,1721.24,0,1549.99,2
20,152.45,1530.12,3861.78,235.88,1559.53,1700.95,0,1559.53,2.03
21,162.27,1539.73,3863.03,237.5,1559.66,1680.2,0,1559.66,1.96
22,160.68,1539.77,3840,238.46,1559.73,1691.15,0,1559.73,2.08
23,159.28,1540,3871.47,237.87,1559.76,1690.49,0,1559.76,2.01
24,154.55,1539.89,3848.54,236.69,1559.72,1692.06,100,1559.72,1.98
25,153.16,1540.07,3806.68,236.31,1559.9,1675.18,0,1559.9,1.99
26,161.32,1539.91,3921.83,234.3,1559.69,1728.67,100,1559.69,1.98
27,154.03,1539.84,3847.11,235.5,1559.74,1695,0,1559.74,2
28,152.99,1540.05,3843.19,232.94,1569.29,1701.32,0,1569.29,2.01
29,153.66,1549.48,3819.35,231.4,1569.21,1709.54,0,1569.21,1.97
30,154.4,1549.34,3859.36,232.16,1569.37,1714,100,1569.37,1.94
31,152.73,1549.76,3856.84,235.67,1569.26,1703.11,0,1569.26,2.01
32,154.19,1549.5,3821.71,233.53,1578.82,1727.18,0,1578.82,2.02
33,154.64,1559.14,3762.82,233.14,1579.21,1688.34,0,1579.21,2.14
34,155.76,1559.29,3823.93,235.29,1588.46,1696.09,0,1588.46,2.15
35,156.81,1568.63,3819.05,234.71,1588.5,1693.7,0,1588.5,1.98
36,158.03,1568.82,3857,237.72,1588.44,1666.58,0,1588.44,1.98
37,158.82,1568.68,3908.41,239.05,1588.42,1691.01,0,1588.42,1.97
38,152.97,1568.66,3870.54,230.46,1588.54,1737.49,0,1588.54,2.01
39,154.07,1568.72,3804.26,232.56,1588.43,1721.41,0,1588.43,2.01
40,154.35,1568.53,3779.85,234.52,1588.63,1687.4,100,1588.63,1.99
41,153.93,1568.92,3822.73,234.3,1588.49,1723.2,0,1588.49,2.03
42,155.64,1568.66,3810.36,234.91,1588.7,1686.08,0,1588.7,2.02
