"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
1,0,104.79,472.58,200,108.92,20.71,0,109.04,4.6
2,120,133.97,399.64,166.67,137.59,21.73,0,137.59,2.43
3,107.69,160.22,389.52,250,138.88,19.27,0,138.55,3.86
4,116.28,133.88,431.41,150,138.26,16.93,200,137.36,3.05
5,107.69,137.46,395.29,200,142.21,15.41,0,142.34,2.91
6,108.7,137.92,451.83,133.33,140.27,26.33,0,139.38,2.44
7,106.98,136.8,428.41,100,141.18,18.47,200,141.18,2.98
8,109.52,138.78,423.49,200,144.78,17.66,200,132.86,3.55
9,112.2,138.4,410.94,200,141.66,17.84,0,141.66,4.46
10,109.76,138.32,401.71,200,141.77,15.47,200,141.77,2.12
11,106.82,138.52,441.03,300,141.88,15.15,100,141.88,2.26
12,105.13,138.45,393.51,150,142.7,15.24,0,142.7,2.68
13,106.82,139.32,434.93,400,141.89,14.24,0,141.22,2.29
14,110.26,139.43,393.99,200,141.66,15.02,0,141.66,2.3
15,110,139.73,393.12,200,143.98,14.06,0,143.98,2.08
16,107.69,139.45,391.33,400,142.72,14.81,100,142.72,2.39
17,110.26,139.63,394.78,150,143.88,13.9,0,144.25,2.52
18,107.32,138.48,406.43,200,141.93,23.81,0,141.48,2.25
19,107.69,138.71,389.4,400,142.1,15.24,0,141.65,2.22
20,110.26,138.91,390.89,150,142.26,14.99,0,142.26,2.25
21,104.76,139.17,419.99,150,144.05,15.88,0,141.75,2.31
22,110,139.8,399.15,150,144.18,39.94,300,144.18,6.51
23,108.89,139.35,448.57,200,141.64,16.16,0,141.64,2.29
24,105.13,139.18,389.19,150,143.93,15.49,0,143.93,2.49
25,105.13,139.32,390.84,150,143.7,14.65,0,143.7,2.43
26,105,139.4,393.82,200,142.75,16.5,0,142.75,2.35
27,110.26,139.98,393.38,100,142.09,16.35,100,142.09,3.11
28,107.69,138.61,394.1,150,142.99,14.36,0,142.99,2.17
29,106.82,138.62,440.31,150,143,14.78,0,140.76,2.47
30,110,139.21,393.76,150,143.46,22.17,0,143.46,2.19
31,105.13,139.92,389.12,200,142.9,15.68,0,122.7,2.82
32,105,139.83,393,300,144.08,15.12,0,144.08,2.29
33,110.26,139.73,389.5,200,144.48,15.31,100,144.6,2.21
34,112.82,140.02,398.18,150,142.67,18.51,200,142.67,3.53
35,112.2,139.55,407.13,150,142.41,15.87,0,142.41,2.75
36,105.13,139.69,391.19,200,143.04,15.52,0,130.85,2.68
37,107.5,139.82,393.43,300,142.58,15.68,100,142.58,2.92
38,109.3,139.61,430.59,200,142.34,15.47,0,124.18,2.59
39,106.98,139.16,425.78,150,141.98,15.74,0,141.98,2.48
40,110,139.51,396,200,142.13,15.46,200,120.29,2.51
41,106.52,140.03,459.12,200,144.28,25.74,100,144.28,6.16
42,112.77,139.82,464.95,150,144.19,23.56,0,144.19,2.31
43,107.5,166.17,401.19,400,144.66,15.44,0,144.66,2.28
44,109.76,141.2,411.38,150,146.08,15.13,0,146.08,2.3
45,107.14,141.59,424.15,200,144.63,15.87,0,134.51,2.72
46,102.5,141.39,389.73,500,144.76,15.29,0,144.76,2.4
47,105.13,141.54,387.96,100,145.79,14.43,0,145.79,2.09
48,110.26,140.34,389.43,100,144.59,14.69,0,144.59,2.69
49,107.14,141.78,416.84,133.33,146.03,28.36,200,146.03,6.07
50,109.76,140.42,409.94,150,143.77,15.27,0,143.89,2.63
51,107.69,140.42,390.2,150,143.88,17.26,0,143.88,2.17
52,107.69,140.71,389.01,100,144.21,15.07,0,144.21,2.42
53,107.5,141.41,397.95,150,145.66,14.6,0,145.66,2.11
54,107.69,141.2,390.39,100,145.95,22.53,0,145.95,2.17
55,107.69,141.24,389.67,300,145.61,14.56,0,145.61,2.13
56,107.69,141.52,390.03,300,145.77,14.26,0,145.77,2.18
57,112.5,141.41,397.95,200,144.2,15.71,0,144.45,2.44
58,107.5,142.04,393.57,200,146.41,14.64,0,146.41,2.12
59,112.82,142,393.27,100,145.36,14.9,0,145.36,2.21
60,112.82,141.66,392.37,100,145.06,14.29,0,145.06,2.21
61,104.76,142.2,412.79,200,147.07,14.44,0,147.07,2.22
62,110.26,141.61,389.24,150,145.86,14.37,0,145.86,2.46
63,107.14,142.63,410.93,400,145.35,16.13,100,145.35,2.17
64,107.89,141.88,387.35,100,146.26,14.17,0,146.26,2.12
65,110.26,140.73,390.64,150,144.98,14.63,0,128.79,2.57
