"run","proverSetUpCPU","proverSetUpMemory","proverSetUpTime","verifierCPU","verifierMemory","verifierTime","proverDecryptCPU","proverDecryptMemory","proverDecryptTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
1,180.08,515.59,2567.52,212.6,887.62,154242.51,104.72,887.62,233.27,296.6,887.62,0.97
2,183.98,1114.58,2501.11,212.99,932.84,156467.51,104.85,932.84,234.72,303.2,932.84,0.87
3,190.64,1151.52,2541.86,214.51,994.71,153328.33,104.92,994.71,239.33,147.95,994.71,0.91
4,184.9,1209.17,2508.56,214.03,1010.93,154921.64,113.8,1010.93,241.47,447.5,990.41,0.91
5,194.68,1209.27,2590.25,215.13,1031.41,149528.79,112.56,1027.28,234.59,300.8,1005.6,0.92
6,178.21,1215.73,2502.71,214.5,1001.93,149523.03,104.69,993.76,245.84,285.5,993.76,1
7,190.85,1215.36,2558.46,216.76,1019.39,145410.54,104.41,1004.49,252.06,179.05,1004.49,1.22
8,192.62,1220.7,2575.72,209.99,1026.41,160418.88,104.2,1026.41,237.79,269.2,1026.41,1.01
9,182.6,1232.71,2586.01,211.04,1038.96,156240.77,116.72,1035.01,242,376.6,1014.14,0.92
10,187.02,1232.92,2602.05,209.74,1046.84,160396.59,113.27,1046.84,249.79,213.4,1026.22,0.97
11,194.32,1230.86,2610.41,209.24,1030.42,160545.53,104.57,1014.08,235.55,145,1014.08,0.92
12,185.76,1232.84,2616.41,207.33,1018.56,167471.97,104.57,1014.52,236.39,287.9,1014.52,0.96
13,187,1231.04,2623.6,207.58,1029.2,166119.97,104.32,1029.2,234.43,275.1,1029.2,1.01
14,183.92,1243.42,2544.94,211.19,1045.46,156549.04,111.74,1041.06,252.23,328.1,1024.98,0.86
15,192.88,1229.84,2574.81,211.68,1042.21,153421.38,104.65,1025.09,244.69,132.3,1025.09,0.91
16,178.72,1243.92,2575.31,211.15,1029.21,156214.01,104.73,1029.21,244.37,158,1029.21,1.1
17,192.83,1241.7,2619.65,214.29,1045.41,147958.89,114.14,1041.1,243.94,187.75,1024.94,0.93
18,181.8,1243.76,2497.83,207.36,1033.54,166288.02,104,1033.54,246.61,262.4,1033.54,0.89
19,179.77,1243.69,2546.07,212.34,1033.71,152239.38,104.35,1033.71,243.82,146.15,1033.71,1.08
20,183.09,1243.41,2557.53,209.17,1036.9,160935.08,104.29,1025.41,245.57,150.3,1025.41,1.05
21,185.06,1243.91,2569.76,207.74,1029.74,164957.1,103.99,1029.74,241.39,165.35,1029.74,1.04
22,183.4,1241.92,2545.88,211.03,1049.75,156430.59,117.82,1049.75,238.49,383.3,1029.29,0.94
23,192.22,1244,2574.07,208.94,1041.88,162109.8,104.81,1025.34,243.05,156.05,1025.34,0.97
