"run","generateZKPCPU","generateZKPMemory","generateZKPDuration","verifyZKPCPU","verifyZKPMemory","verifyZKPDuration"
1,166.67,217.51,746.33,174.07,194.5,262.93
2,128.57,196.4,623.17,156,194.46,250.61
3,123.81,196.54,623.55,156,194.69,249.4
4,136.07,206.66,605.71,156,205.04,246.01
5,127.42,210.07,607.28,164,208.08,251.86
6,122.95,210.16,599.06,162.5,208.21,242.57
7,128.33,210.38,595.44,156,209.07,246.69
8,124.59,210.9,598.39,152,209.05,243.72
9,125.42,211.04,592.46,152,209.17,242.79
10,123.33,211.06,594.83,152,209.19,242.57
11,126.67,211.31,600.05,160,209.07,243.46
12,123.33,211.05,600.55,156,209.29,242.7
13,124.59,211.4,597.57,158.33,209.18,244.39
14,122.58,211.14,605.86,160,209.1,253.25
15,121.31,211.09,601.33,156,209.18,241.78
16,124.59,211.16,609.12,156,209.35,247.11
17,122.95,211.18,603.19,152,209.3,244.24
18,124.59,211.09,606.41,152,209.13,247.97
19,123.81,211.13,623.75,152,209.23,243.89
20,126.23,211.12,609.6,152,209.25,244.42
21,124.19,211.41,608.09,158.33,209.47,244.46
22,124.19,211.12,609.34,156,209.18,244.05
23,121.67,211.23,598.47,156,209.25,243.65
24,124.59,265.41,611.34,152,209.61,246.31
25,120.63,211.08,622.16,152,209.11,245.45
26,126.23,211.14,601.49,156,209.47,248.84
27,122.95,212.73,607.31,150,209.67,247.25
28,126.23,210.56,608.84,156,208.6,242.93
29,122.58,210.59,612.84,156,208.75,247.16
30,124.59,210.75,610.89,156,209,243.27
31,125.81,215.34,612.75,160,213.23,248.18
32,122.58,215.34,613.26,156,213.47,244.52
33,124.59,214.92,610.35,156,212.8,248.35
34,122.95,214.82,598.91,152,212.95,245.39
35,122.95,214.9,601.08,160,216.47,247.04
36,120.97,269.03,617.05,160,213.1,248.8
37,122.58,216.58,609.46,160,213.48,249.44
38,120.97,214.99,613.66,156,213.13,243.78
39,127.42,217.69,617.66,156,215.79,247.17
40,124.19,217.77,617.53,152,215.91,243.24
41,124.19,217.82,615.96,152,215.72,245.62
42,122.22,217.61,618.51,160,215.85,248.47
43,129.03,219.87,614.86,153.85,217.8,251.59
44,122.22,219.58,621.8,152,217.72,245.9
45,124.19,219.69,618.09,156,217.69,247.04
46,124.19,219.7,615.62,153.85,217.8,249.1
47,125.81,219.71,622.22,156,217.75,246.67
48,119.05,219.69,619.12,156,217.91,246.98
49,122.22,219.81,628.34,152,217.94,244.25
50,124.19,219.79,615.22,156,217.9,245.64
